player_id,session_id,session_date,mode,map_name,weapon_primary,kills,deaths,assists,accuracy,win,score,session_duration_min,rank,prestige_level,sessions_last_7d,avg_kd_ratio,hours_played_total,microtransactions_usd,region,device,returned_next_day,ab_group
221958,1,2025-03-07 00:00:00,Hardpoint,Favela,M4,11,13,4,0.285,0,1040,11.9,Silver,0,5,0.86,87.0,0.0,APAC,PC,1,B
771155,2,2025-02-18 12:00:00,Team Deathmatch,Highrise,M4,9,13,3,0.273,1,990,8.8,Silver,2,4,0.71,42.9,0.84,LATAM,PC,0,B
231932,3,2025-08-14 19:00:00,Domination,Shipment,Shotgun,13,16,2,0.276,0,1080,11.1,Diamond,0,5,0.82,126.6,0.0,APAC,Console,0,B
465838,4,2025-04-24 10:00:00,Team Deathmatch,Highrise,M4,14,15,1,0.224,1,1350,10.0,Gold,2,5,0.94,132.9,9.94,EU,Console,1,B
359178,5,2025-01-20 14:00:00,Team Deathmatch,Favela,AK-47,16,11,4,0.381,1,1780,5.4,Gold,0,3,1.42,156.2,0.0,,PC,0,A
744167,6,2025-03-03 04:00:00,Hardpoint,Shipment,AK-47,19,8,5,0.293,0,1990,9.9,Platinum,1,3,2.22,139.3,0.0,APAC,Console,0,A
210268,7,2025-11-27 05:00:00,Battle Royale,Favela,Shotgun,10,13,4,0.343,0,940,10.8,Bronze,2,8,0.79,154.9,4.86,,PC,1,A
832180,8,2025-02-03 16:00:00,Battle Royale,Highrise,MP5,9,3,7,0.409,1,1390,6.0,Silver,0,8,2.5,156.9,0.0,APAC,Console,0,A
154886,9,2025-12-15 11:00:00,Team Deathmatch,Shipment,LMG,19,7,4,0.209,1,2160,15.5,Silver,1,8,2.5,145.0,8.34,,Console,0,A
237337,10,2025-10-07 23:00:00,Domination,Favela,Sniper,14,11,4,0.48,1,1580,18.8,Gold,4,3,1.25,61.6,1.43,,Console,1,A
621430,11,2025-07-31 09:00:00,Hardpoint,Highrise,Shotgun,11,10,2,0.288,0,1000,12.2,Diamond,2,7,1.09,158.2,13.53,,PC,1,A
187498,12,2025-11-30 20:00:00,Team Deathmatch,Shipment,M4,22,15,4,0.315,0,2100,6.6,Bronze,3,7,1.44,106.3,6.72,APAC,Console,0,B
999159,13,2025-03-10 13:00:00,Search & Destroy,Favela,AK-47,12,11,4,0.343,1,1380,11.1,Bronze,0,6,1.08,120.6,0.0,EU,Console,1,A
